WB_country_name,WB_country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Djibouti,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.97,0.0,825.55,820.58,785.29,783.7,735.73,767.11,762.48,788.62,790.52,766.32,752.75,740.04,745.21,742.87,747.78,749.08,771.37,813.9,852.89,907.82,980.03,1131.64,1164.25,1227.82,1322.73,1418.46,2102.2,2239.11,2409.31,2545.74,2655.73,2755.84,2876.04,2921.74,3062.55,3136.11
Dinamarca,DNK,0.0,0.0,0.0,0.0,0.0,0.0,2487.14,2700.75,2776.14,3151.13,3464.46,3845.51,4654.3,6119.37,6770.75,7999.11,8787.59,9783.85,11826.02,13752.0,13883.89,12081.8,11804.43,11857.89,11562.92,12253.1,17201.09,21340.73,22527.05,21901.05,26891.45,27011.38,29569.66,27597.98,29995.58,35351.37,35650.71,32835.94,33368.14,33440.79,30743.55,30751.65,33228.69,40458.78,46511.6,48799.83,52027.0,58487.05,64322.06,58163.28,58041.4,61753.65,58507.51,61191.19,62548.98,53254.86,54664.0,57610.1,61591.93,59592.98,60836.59,69268.65,67790.05
República Dominicana,DOM,203.88,191.91,234.04,258.76,273.32,229.56,246.77,251.84,255.05,282.68,331.89,362.3,420.63,483.35,587.66,704.83,754.78,854.99,861.51,977.41,1174.69,1284.79,1374.47,1499.96,1845.56,786.03,934.06,870.66,786.38,957.96,992.24,1349.81,1562.52,1726.63,1896.02,2114.09,2276.7,2456.11,2616.75,2631.74,2845.85,2953.25,3085.52,2399.5,2468.44,3903.82,4080.05,4676.08,5053.33,5002.15,5509.57,5859.38,6049.47,6171.3,6533.67,6838.94,7191.07,7513.5,7947.16,8173.34,7167.91,8476.75,10111.25
Argelia,DZA,239.03,209.92,169.93,225.82,238.88,253.31,241.0,261.37,292.03,315.56,352.53,359.82,468.62,588.91,871.73,989.39,1074.41,1223.99,1495.21,1829.9,2259.72,2291.76,2260.35,2359.59,2510.04,2617.73,2783.43,2829.88,2437.38,2235.27,2431.55,1749.29,1794.62,1825.88,1522.83,1466.54,1619.53,1634.47,1610.3,1602.86,1780.38,1754.58,1794.81,2117.05,2624.8,3131.33,3500.13,3971.8,4946.56,3898.48,4495.92,5473.28,5610.73,5519.78,5516.23,4197.42,3967.2,4134.94,4171.79,4021.98,3354.15,3700.31,4342.64
Ecuador,ECU,448.11,369.11,310.44,362.38,432.96,447.23,442.03,451.29,443.24,518.95,463.77,433.67,487.63,579.09,954.87,1088.08,1244.73,1468.87,1545.82,1789.23,2197.87,2611.25,2324.83,1950.06,1874.38,1853.09,1613.7,1433.33,1309.14,1360.49,1458.33,1589.75,1657.86,1701.16,2001.18,2113.26,2142.33,2349.22,2293.66,1582.76,1451.53,1904.81,2184.21,2438.34,2703.57,3014.31,3340.84,3579.03,4260.43,4240.7,4640.25,5202.66,5678.46,6050.35,6374.63,6130.59,6079.09,6246.4,6321.35,6233.26,5645.2,5965.13,6391.28
"Egipto, República Árabe de",EGY,0.0,0.0,0.0,0.0,0.0,160.57,166.96,172.96,178.66,191.92,231.22,242.13,255.97,272.05,243.31,299.99,335.85,354.9,356.25,422.7,495.33,493.01,600.04,653.94,697.9,780.51,802.22,765.61,644.22,712.91,751.19,637.9,697.73,758.83,826.72,937.54,1031.49,1170.8,1239.35,1297.57,1398.86,1327.1,1144.53,1056.94,1016.25,1133.11,1332.34,1586.47,1941.9,2212.22,2509.77,2645.62,3059.14,3088.89,3196.86,3370.38,3331.61,2439.97,2531.2,3017.26,3571.56,3886.72,4295.41
Eritrea,ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.34,236.13,260.31,267.94,306.32,299.57,320.97,292.35,295.2,305.6,286.3,327.98,401.37,387.9,420.53,450.41,459.18,602.06,504.97,643.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
España,ESP,396.39,450.05,520.21,609.49,675.24,774.76,889.66,968.31,950.55,1077.68,1212.29,1362.17,1708.81,2247.55,2749.92,3209.84,3279.31,3627.59,4356.44,5770.21,6208.58,5371.17,5159.71,4478.5,4489.99,4699.66,6513.5,8239.61,9703.12,10681.97,13804.88,14811.9,16112.19,13339.91,13415.29,15471.96,16109.08,14730.8,15394.35,15720.64,14749.69,15369.0,17106.69,21510.84,24907.0,26429.15,28389.08,32591.35,35510.72,32169.5,30532.48,31677.9,28322.95,29077.18,29513.65,25754.36,26537.16,28185.32,30379.72,29581.52,26984.3,30488.82,29674.54
Estonia,EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3134.39,3380.93,3682.95,4093.39,4140.94,4070.61,4505.86,5341.63,7203.52,8914.1,10412.64,12639.4,16744.58,18204.97,14711.74,14663.04,17487.8,17403.21,19056.0,20261.07,17402.04,18295.34,20437.77,23165.85,23424.48,23595.24,27943.7,28247.1
Etiopía,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.5,207.12,224.08,206.52,235.34,237.57,245.67,245.08,248.43,254.3,269.61,201.74,164.17,124.56,133.34,144.03,140.27,123.83,118.33,122.96,119.26,110.46,117.86,134.54,160.08,191.75,240.35,320.86,373.89,335.44,348.0,458.55,490.79,557.53,630.31,705.62,755.75,758.3,840.45,918.65,925.0,1027.59
