discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_url,athlete_full_name,game_year,WB_country_code,WB_country_name,game_city,game_name,bronze,gold,silver,sum_medals
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,silver,GameTeam,https://olympics.com/en/athletes/delaney-schnell,Delaney SCHNELL,2020,USA,United States,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,bronze,GameTeam,https://olympics.com/en/athletes/gabriela-belem-agundez-garcia,Gabriela Belem AGUNDEZ GARCIA,2020,MEX,Mexico,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's Synchronised 10m Platform,Women,bronze,GameTeam,https://olympics.com/en/athletes/alejandra-orozco,Alejandra OROZCO,2020,MEX,Mexico,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's 10m Platform,Women,silver,Athlete,https://olympics.com/en/athletes/yuxi-chen,Yuxi CHEN,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's 10m Platform,Women,bronze,Athlete,https://olympics.com/en/athletes/melissa-wu,Melissa WU,2020,AUS,Australia,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Women's 10m Platform,Women,gold,Athlete,https://olympics.com/en/athletes/hongchan-quan,Hongchan QUAN,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Men's 10m Platform,Men,bronze,Athlete,https://olympics.com/en/athletes/thomas-daley,Thomas DALEY,2020,GBR,Great Britain,Tokyo,Tokyo 2020,1,0,0,1
Diving,tokyo-2020,Men's 10m Platform,Men,silver,Athlete,https://olympics.com/en/athletes/jian-yang-x3822,Jian YANG,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Men's 10m Platform,Men,gold,Athlete,https://olympics.com/en/athletes/yuan-cao,Yuan CAO,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's 3m Springboard,Women,silver,Athlete,https://olympics.com/en/athletes/han-wang,Han WANG,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Diving,tokyo-2020,Women's 3m Springboard,Women,gold,Athlete,https://olympics.com/en/athletes/tingmao-shi,Tingmao SHI,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Diving,tokyo-2020,Women's 3m Springboard,Women,bronze,Athlete,https://olympics.com/en/athletes/krysta-palmer,Krysta PALMER,2020,USA,United States,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Canoe Single 200m,Women,silver,Athlete,https://olympics.com/en/athletes/laurence-vincent-lapointe,Laurence VINCENT-LAPOINTE,2020,CAN,Canada,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Women's Canoe Single 200m,Women,bronze,Athlete,https://olympics.com/en/athletes/liudmyla-luzan,Liudmyla LUZAN,2020,UKR,Ukraine,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Canoe Single 200m,Women,gold,Athlete,https://olympics.com/en/athletes/nevin-harrison,Nevin HARRISON,2020,USA,United States,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,gold,GameTeam,https://olympics.com/en/athletes/serguey-torres,Serguey TORRES,2020,CUB,Cuba,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,gold,GameTeam,https://olympics.com/en/athletes/fernando-dayan-jorge,Fernando Dayan JORGE,2020,CUB,Cuba,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,silver,GameTeam,https://olympics.com/en/athletes/hao-liu-x6188,Hao LIU,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,silver,GameTeam,https://olympics.com/en/athletes/pengfei-zheng,Pengfei ZHENG,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,bronze,GameTeam,https://olympics.com/en/athletes/sebastian-brendel,Sebastian BRENDEL,2020,DEU,Germany,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,bronze,GameTeam,https://olympics.com/en/athletes/tim-hecker,Tim HECKER,2020,DEU,Germany,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Four 500m,Men,gold,GameTeam,,,2020,DEU,Germany,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Four 500m,Men,silver,GameTeam,,,2020,ESP,Spain,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Kayak Four 500m,Men,bronze,GameTeam,,,2020,SVK,Slovakia,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Double 1000m,Men,gold,GameTeam,https://olympics.com/en/athletes/jean-van-der-westhuyzen,Jean VAN DER WESTHUYZEN,2020,AUS,Australia,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Double 1000m,Men,gold,GameTeam,https://olympics.com/en/athletes/thomas-green,Thomas GREEN,2020,AUS,Australia,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Double 1000m,Men,silver,GameTeam,https://olympics.com/en/athletes/max-hoff,Max HOFF,2020,DEU,Germany,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Kayak Double 1000m,Men,silver,GameTeam,https://olympics.com/en/athletes/jacob-schopf,Jacob SCHOPF,2020,DEU,Germany,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Kayak Double 1000m,Men,bronze,GameTeam,https://olympics.com/en/athletes/josef-dostal,Josef DOSTAL,2020,CZE,Czech Republic,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Double 1000m,Men,bronze,GameTeam,https://olympics.com/en/athletes/radek-slouf,Radek SLOUF,2020,CZE,Czech Republic,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Single 200m,Women,gold,Athlete,https://olympics.com/en/athletes/lisa-carrington,Lisa CARRINGTON,2020,NZL,New Zealand,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Single 200m,Women,bronze,Athlete,https://olympics.com/en/athletes/emma-jorgensen,Emma JORGENSEN,2020,DNK,Denmark,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Single 200m,Women,silver,Athlete,https://olympics.com/en/athletes/teresa-portela,Teresa PORTELA,2020,ESP,Spain,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,gold,GameTeam,https://olympics.com/en/athletes/shixiao-xu,Shixiao XU,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,gold,GameTeam,https://olympics.com/en/athletes/mengya-sun,Mengya SUN,2020,CHN,China,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,silver,GameTeam,https://olympics.com/en/athletes/liudmyla-luzan,Liudmyla LUZAN,2020,UKR,Ukraine,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,silver,GameTeam,https://olympics.com/en/athletes/anastasiia-chetverikova,Anastasiia CHETVERIKOVA,2020,UKR,Ukraine,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,bronze,GameTeam,https://olympics.com/en/athletes/laurence-vincent-lapointe,Laurence VINCENT-LAPOINTE,2020,CAN,Canada,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,bronze,GameTeam,https://olympics.com/en/athletes/katie-vincent,Katie VINCENT,2020,CAN,Canada,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Single 500m,Women,gold,Athlete,https://olympics.com/en/athletes/lisa-carrington,Lisa CARRINGTON,2020,NZL,New Zealand,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Single 500m,Women,silver,Athlete,https://olympics.com/en/athletes/tamara-csipes,Tamara CSIPES,2020,HUN,Hungary,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Women's Kayak Single 500m,Women,bronze,Athlete,https://olympics.com/en/athletes/emma-jorgensen,Emma JORGENSEN,2020,DNK,Denmark,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Four 500m,Women,gold,GameTeam,,,2020,HUN,Hungary,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Four 500m,Women,silver,GameTeam,,,2020,BLR,Belarus,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Women's Kayak Four 500m,Women,bronze,GameTeam,,,2020,POL,Poland,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Men's Canoe Single 1000m,Men,bronze,Athlete,https://olympics.com/en/athletes/serghei-tarnovschi,Serghei TARNOVSCHI,2020,MDA,Moldova,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Men's Canoe Single 1000m,Men,silver,Athlete,https://olympics.com/en/athletes/hao-liu-x6188,Hao LIU,2020,CHN,China,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Canoe Single 1000m,Men,gold,Athlete,https://olympics.com/en/athletes/isaquias-queiroz-dos-santos,Isaquias QUEIROZ DOS SANTOS,2020,BRA,Brazil,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Single 1000m,Men,silver,Athlete,https://olympics.com/en/athletes/adam-varga-x2538,Adam VARGA,2020,HUN,Hungary,Tokyo,Tokyo 2020,0,0,1,1
Canoe Sprint,tokyo-2020,Men's Kayak Single 1000m,Men,gold,Athlete,https://olympics.com/en/athletes/balint-kopasz,Balint KOPASZ,2020,HUN,Hungary,Tokyo,Tokyo 2020,0,1,0,1
Canoe Sprint,tokyo-2020,Men's Kayak Single 1000m,Men,bronze,Athlete,https://olympics.com/en/athletes/fernando-pimenta,Fernando PIMENTA,2020,PRT,Portugal,Tokyo,Tokyo 2020,1,0,0,1
Canoe Sprint,tokyo-2020,Women's Kayak Double 500m,Women,gold,GameTeam,https://olympics.com/en/athletes/lisa-carrington,Lisa CARRINGTON,2020,NZL,New Zealand,Tokyo,Tokyo 2020,0,1,0,1
