game_year,WB_country_code,WB_country_name,game_city,game_name,gold,silver,bronze,sum_medals
1988,RUS,Russia,Seoul,Seoul 1988,57,33,48,138
1988,SEN,Senegal,Seoul,Seoul 1988,0,1,0,1
1988,SUR,Suriname,Seoul,Seoul 1988,1,0,0,1
1988,SWE,Sweden,Seoul,Seoul 1988,0,5,8,13
1988,THA,Thailand,Seoul,Seoul 1988,0,0,1,1
1988,TUR,Turkey,Seoul,Seoul 1988,1,1,0,2
1988,USA,United States,Seoul,Seoul 1988,40,33,28,101
1988,VIR,United States Virgin Islands,Seoul,Seoul 1988,0,1,0,1
1988,YGL,Yugoslavia,Seoul,Seoul 1988,3,5,7,15
1992,ARG,Argentina,Barcelona,Barcelona 1992,0,0,2,2
1992,AUS,Australia,Barcelona,Barcelona 1992,8,9,13,30
1992,AUT,Austria,Barcelona,Barcelona 1992,0,3,0,3
1992,BEL,Belgium,Barcelona,Barcelona 1992,0,1,2,3
1992,BGR,Bulgaria,Barcelona,Barcelona 1992,3,7,7,17
1992,BHS,Bahamas,Barcelona,Barcelona 1992,0,0,1,1
1992,BRA,Brazil,Barcelona,Barcelona 1992,2,1,0,3
1992,CAN,Canada,Barcelona,Barcelona 1992,8,5,8,21
1992,CHE,Switzerland,Barcelona,Barcelona 1992,1,0,0,1
1992,CHN,China,Barcelona,Barcelona 1992,18,25,19,62
1992,COL,Colombia,Barcelona,Barcelona 1992,0,0,1,1
1992,CUB,Cuba,Barcelona,Barcelona 1992,14,6,11,31
1992,CZE,Czech Republic,Barcelona,Barcelona 1992,4,3,1,8
1992,DEU,Germany,Barcelona,Barcelona 1992,39,25,28,92
1992,DNK,Denmark,Barcelona,Barcelona 1992,1,2,5,8
1992,DZA,Algeria,Barcelona,Barcelona 1992,1,0,1,2
1992,ESP,Spain,Barcelona,Barcelona 1992,16,8,2,26
1992,EST,Estonia,Barcelona,Barcelona 1992,1,0,2,3
1992,ETH,Ethiopia,Barcelona,Barcelona 1992,1,0,2,3
