WB_country_code,WB_country_name,Region,year,medals_cumsum,GDP_deviation,GDP_dev_sign,GDP_cumsum,ratio_medal_gdp,GDP
IRN,Iran,Asia,1964,6,-23.939877806752826,negative,23628123567.31,2.539346801242027e-10,5379845647.7
IRQ,Iraq,Asia,1964,1,-0.9227521537215541,negative,9788236924.7,1.0216344451946835e-10,2340239343.9
ISL,Iceland,Europe,1964,0,678.0452100708092,positive,1561565856.49,0.0,434267936.91
ISR,Israel,Asia,1964,0,365.85809083185035,positive,14644666666.66,0.0,3405333333.33
ITA,Italy,Europe,1964,66,313.9358163556464,positive,256498100615.21002,2.573118469169915e-10,63175417019.01
JAM,Jamaica,Americas,1964,2,76.23439103269746,positive,3949491240.2000003,5.063943374890789e-10,897949000.82
JOR,Jordan,Asia,1964,0,-100.0,negative,0.0,,0.0
JPN,Japan,Asia,1964,47,185.6385340307478,positive,309786117552.35004,1.5171757976552187e-10,81749006381.51
KAZ,Kazakhstan,Asia,1964,0,-100.0,negative,0.0,,0.0
KEN,Kenya,Africa,1964,1,-62.62341128511149,negative,4377685016.93,2.2843123617452125e-10,998759334.5
KGZ,Kyrgyzstan,Asia,1964,0,-100.0,negative,0.0,,0.0
KOR,South Korea,Asia,1964,3,-58.147294763589365,negative,16638537483.59,1.8030430877466206e-10,3459019942.79
KWT,Kuwait,Asia,1964,0,-100.0,negative,0.0,,0.0
LBN,Lebanon,Asia,1964,0,-100.0,negative,0.0,,0.0
LKA,Sri Lanka,Asia,1964,0,-58.84139755247896,negative,6838778227.34,0.0,1309747899.16
LTU,Lithuania,Europe,1964,0,-100.0,negative,0.0,,0.0
LVA,Latvia,Europe,1964,0,-100.0,negative,0.0,,0.0
MAR,Morocco,Africa,1964,1,-27.623701388761944,negative,11898057282.99,8.404733446943856e-11,2798345298.58
MDA,Moldova,Europe,1964,0,-100.0,negative,0.0,,0.0
MEX,Mexico,Americas,1964,2,64.48543163051764,positive,79440000000.0,2.5176233635448138e-11,20080000000.0
MKD,North Macedonia,Europe,1964,0,-100.0,negative,0.0,,0.0
MNE,Montenegro,Europe,1964,0,-100.0,negative,0.0,,0.0
MNG,Mongolia,Asia,1964,0,-100.0,negative,0.0,,0.0
MOZ,Mozambique,Africa,1964,0,-100.0,negative,0.0,,0.0
MUS,Mauritius,Africa,1964,0,-100.0,negative,0.0,,0.0
MYS,Malaysia,Asia,1964,0,2.483430312731735,positive,11004109472.689999,0.0,2674423922.49
NAM,Namibia,Africa,1964,0,-100.0,negative,0.0,,0.0
NER,Niger,Africa,1964,0,-49.87562104038323,negative,2636159978.67,0.0,582816396.4
NGA,Nigeria,Africa,1964,1,-61.51623269015102,negative,24291383143.440002,4.1166861273194094e-11,5552931318.83
